world:Lintfur	a	schema:Person
world:Carl	a	schema:Person
world:Carl	schema:address	world:TurnipsHome
world:Fintos	schema:address	world:HawksNest
world:ArlasHome	schema:streetAddress	"7 Birken forch way"@en
world:Astrid	schema:gender	schema:female
world:TurnipsHome	schema:streetAddress	"31 Trademann's Valley"@en
world:Kingshome	schema:streetAddress	"Walk of Glory"@en
world:Kingshome	schema:adressCountry	world:TheOldEmpire
world:Khargh	schema:name	"Khargh"
world:TheOldEmpire	schema:Population	"300000"^^xsd:int
world:Avurien	schema:foundingYear	"671"^^xsd:int
world:Astrid	a	schema:Person
world:Fjördall	schema:foundingYear	"411"^^xsd:int
world:RabitsDen	schema:streetAddress	"Straße des Ashnaf"@de
world:Kingshome	a	schema:place
world:Sharun	a	schema:Country
world:HawksNest	schema:streetAddress	"Iron Hammer Place"@en
world:Loui	schema:familyName	"Loui"^^xsd:string
world:Gvelien	schema:name	"Gvelien"
world:Loui	schema:birthDate	"1072-11-03"^^xsd:date
world:Lintfur	schema:familyName	"Donnerwolke"@de
world:Gvelien	schema:foundingYear	"0"^^xsd:int
world:HawksNest	schema:adressCountry	world:Kharg
world:Lintfur	schema:givenName	"Lintfur"@en
world:Lisa	a	schema:Person
world:Khargh	schema:nationalAnthem	"How the anvil formed us"^^xsd:string
world:Arla	schema:familyName	"Asura"
world:Sebastian	schema:familyName	"Starsinger"@en
world:Carl	schema:familyName	"Turnip"@en
world:TurnipsHome	schema:adressCity	world:Targ
world:Sharun	schema:nationalAnthem	"Paradise on earth"^^xsd:string
world:Adrian	schema:worksFor	world:Sebastian
world:Avurien	a	schema:Country
world:TurnipsHome	schema:adressCountry	world:Avurien
world:HawksNest	schema:adressCity	world:Khurag
world:TurnipsHome	schema:streetAddress	"Handwerkwerweg 31"@de
world:Adrian	schema:religion	world:churchOfAvus
world:Avurien	schema:name	"Avurien"
world:Khargh	schema:Population	"20000"^^xsd:int
world:Sebastian	schema:birthDate	"1090-04-28"^^xsd:date
world:Lintfur	schema:familyName	"Thundercloud"@en
world:Kingshome	schema:adressRegion	world:TheOldEmpire
world:HawksNest	schema:streetAddress	"Platz des Eisenhammers"@de
world:Carl	schema:familyName	"Rübe"@de
world:Lisa	schema:birthDate	"1092-02-12"^^xsd:date
world:ArlasHome	a	schema:place
world:Sebastian	a	schema:Person
world:HawksNest	a	schema:place
world:Arla	a	schema:Person
world:TheOldEmpire	schema:foundingYear	"-1700"^^xsd:int
world:Adrian	schema:profession	world:tinkerer
world:Lintfur	schema:givenName	"Fusselfell"@de
world:Fintos	schema:title	"Graf"@de
world:Carl	schema:gender	schema:male
world:Lintfur	schema:gender	schema:male
world:Gvelien	a	schema:Country
world:Gvelien	schema:nationalAnthem	"The hawk so high"^^xsd:string
world:ArlasHome	schema:streetAddress	"Birkenwaldweg 7"@de
world:Sharun	schema:foundingYear	"-145"^^xsd:int
world:Fintos	schema:givenName	"Fintos"^^xsd:string
world:Fintos	schema:familyName	"peregrine"@en
world:Carl	schema:birthDate	"1022-12-01"^^xsd:date
world:RabitsDen	schema:adressCountry	world:Gvelien
world:Arla	schema:address	world:ArlasHome.
world:Adrian	schema:birthDate	"1090-28-11"
world:Loui	schema:gender	schema:male
world:Sebastian	schema:familyName	"Sternensänger"@de
world:TurnipsHome	schema:adressRegion	world:TimberwoodMountains
